,index,variable,value,iter
12,pm25,Factor 1,0.7153650908082858,16
13,pm10,Factor 1,0.6968382211559337,16
14,co2,Factor 2,0.07370875219826374,16
15,co,Factor 2,3.5149788844778106e-05,16
16,no2,Factor 2,0.7589384779858398,16
17,o3,Factor 2,0.253253348025768,16
18,pm1,Factor 2,0.203772879370367,16
19,pm25,Factor 2,0.21071365298333755,16
20,pm10,Factor 2,0.22989933706608512,16
21,co2,Residual,-1.3443449081718128e-05,16
22,co,Residual,4.1540742956591714e-07,16
23,no2,Residual,-0.0007598646969484424,16
24,o3,Residual,0.08870408601195434,16
25,pm1,Residual,0.05161303671430584,16
26,pm25,Residual,0.05761849930704255,16
27,pm10,Residual,0.054822752963862964,16
0,co2,Factor 0,0.017819831481312564,17
1,co,Factor 0,0.9997080466580578,17
2,no2,Factor 0,0.02079862304111878,17
3,o3,Factor 0,0.04989044421206298,17
4,pm1,Factor 0,0.024402365183898145,17
5,pm25,Factor 0,0.02284240056611771,17
6,pm10,Factor 0,0.023912390961315116,17
7,co2,Factor 1,0.8940692340665917,17
8,co,Factor 1,0.00023597921366416637,17
9,no2,Factor 1,0.21203895475439238,17
10,o3,Factor 1,0.6047839078518208,17
11,pm1,Factor 1,0.7227023164741748,17
12,pm25,Factor 1,0.7202653917777325,17
13,pm10,Factor 1,0.7049969672143297,17
14,co2,Factor 2,0.08812440981605074,17
15,co,Factor 2,5.553944927149698e-05,17
16,no2,Factor 2,0.7678637829092407,17
17,o3,Factor 2,0.25265932602329305,17
18,pm1,Factor 2,0.19831739670694393,17
19,pm25,Factor 2,0.19467828183891683,17
20,pm10,Factor 2,0.21648032680477072,17
21,co2,Residual,-1.3475363954906783e-05,17
22,co,Residual,4.3467900656679603e-07,17
23,no2,Residual,-0.0007013607047519077,17
24,o3,Residual,0.0926663219128232,17
25,pm1,Residual,0.054577921634983095,17
26,pm25,Residual,0.06221392581723295,17
27,pm10,Residual,0.054610315019584466,17
0,co2,Factor 0,0.019225362993977844,18
1,co,Factor 0,0.999735070842311,18
2,no2,Factor 0,0.02340915717192728,18
3,o3,Factor 0,0.04883858372393353,18
4,pm1,Factor 0,0.02897661366255549,18
5,pm25,Factor 0,0.026866567084457327,18
6,pm10,Factor 0,0.026044734438892516,18
7,co2,Factor 1,0.8978411268865794,18
8,co,Factor 1,0.00021941758674962875,18
9,no2,Factor 1,0.21519410279693724,18
10,o3,Factor 1,0.6058379583033321,18
